x,y
56.87535,128.30394
101.4467,137.21819
113.3324,136.76102
125.1039,132.53244
128.1896,125.56102
131.2754,118.58961
127.0467,102.01819
119.961,95.3896
112.8754,88.761
83.61819,90.9324
85.67535,85.7896
87.73252,80.6468
125.3325,73.9039
132.3039,64.5324
139.2754,55.161
132.8754,36.0753
127.5039,29.561000000000007
122.1325,23.04679999999999
110.9325,24.760999999999996
100.0754,25.446799999999996
89.21819,26.132499999999993
62.36102,33.675399999999996
62.36102,33.675399999999996
62.36102,33.675399999999996
